code,description,merge_explanation,original_code,quote,source
Awareness of Clinical Trials,"Participants seek more information about how and where to learn about clinical trials, indicating a gap in outreach.",,"[""Awareness of Clinical Trials"", ""Awareness of Clinical Trials""]","[{""text"": ""[{\""text\"": \""I never know one, if you're not really sick or anything they don't really outreach for people to, to me if they do, they're not doing it enough.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}, {""text"": ""[{\""text\"": \""This was a great tool... if it was played on the monitors, you know, in the waiting rooms, in the clinics.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]","1_R24FG_BF_Group_UF_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv"
Awareness of Treatment Options,The goal of being informed about various treatment options available for health conditions.,,"[""Awareness of Treatment Options""]","[{""text"": ""[{\""text\"": \""They're doing the immunotherapy, they're doing the hemoglobin.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Clarification of Roles,Participants want clarity on the roles of avatars and the nature of interactions.,,"[""Clarification of Roles""]","[{""text"": ""[{\""text\"": \""I want to know, what's Alex? Is that a person? Is that a bot?\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Clarify Avatar Identity,Users want clear identification of the avatar's role to enhance understanding and engagement.,,"[""Clarify Avatar Identity""]","[{""text"": ""[{\""text\"": \""I think just what he says, if you took a second to say, 'I am your virtual, you know, Alex,' then all of that would pretty much be mute.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Clarify Research Study Types,Users want to understand the different types of research studies available and their purposes.,,"[""Clarify Research Study Types""]","[{""text"": ""[{\""text\"": \""I think it would have been nice to get rid of a human because I would have preferred just the voice without any human.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Clarifying Eligibility,Participants seek clarity on eligibility requirements for research studies to determine their participation.,,"[""Clarifying Eligibility""]","[{""text"": ""[{\""text\"": \""Every study has specific requirements in order to enroll, such as age, sex or type of disease.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Clarity in Consent,Users seek clear explanations regarding consent and their rights in research studies.,,"[""Clarity in Consent""]","[{""text"": ""[{\""text\"": \""He explained what is the consent. He explained my rights.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Clarity in Healthcare Communication,"Participants emphasize the need for clear, straightforward communication from healthcare providers about clinical trials to enhance understanding.","These codes were merged due to their shared focus on the necessity for clear and comprehensible communication regarding clinical trials, highlighting participants' desire to avoid confusion.","[""Desire for Clear Communication"", ""Need for Clarity in Communication"", ""Importance of Clear Communication"", ""Desire for Clarity in Communication""]","[{""text"": ""[{\""text\"": \""I would certainly call and talk to the doctor.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}, {\""text\"": \""It just was in the one thing. It didn't really suggest other questions you might ask your doctor.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""He wasn't, you know, using a lot of medical terms that... can be scary for people.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I always double check. Like, of course, like with [hospital name] like, it's in the portal.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv"
Clarity in Terminology,Users require clear definitions and explanations of terms used in the interface.,,"[""Clarity in Terminology""]","[{""text"": ""[{\""text\"": \""A little confused by the word, 'Next.'\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Clear Communication in Healthcare,Participants emphasize the necessity of clear and effective communication with healthcare providers regarding clinical trials and overall care.,"These codes were merged due to their shared focus on the importance of clear communication between participants and healthcare providers, highlighting the need for transparency and understanding in clinical settings.","[""Need for Clear Communication"", ""Importance of Communication"", ""Desire for Clear Communication"", ""Streamlined Communication""]","[{""text"": ""[{\""text\"": \""I think it would be good if they would suggest that you go through a trial.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Sometimes what impacts is the communication, mostly with the study coordinator.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""It was very clear and to-the-point.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""If you've got it written down, you know, you'll bring it up and talk about it.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""You\\u2019re kind of at the mercy of one specialist whether they actually send the information to the primary care physician.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Clear Purpose,Users want a clear understanding of the purpose of the tool and how it relates to their needs.,,"[""Clear Purpose""]","[{""text"": ""[{\""text\"": \""I thought this was an example. I thought maybe you were going to have a series and this one was specific to cancer.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Clear Question Guidelines,Users seek a clear set of questions to ask their doctors or research teams to facilitate better communication.,,"[""Clear Question Guidelines""]","[{""text"": ""[{\""text\"": \""Sometimes you just didn't know what to ask them. That wasn\\u2019t too doctor-related.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Closed Captioning Consistency,Users want consistent closed captioning options across all videos for better accessibility.,,"[""Closed Captioning Consistency""]","[{""text"": ""[{\""text\"": \""I think we need consistency in that... I think something to say, 'turn it on or turn it off.'\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Comfort with Technology,The goal is to become more comfortable using technology for managing health information and appointments.,,"[""Comfort with Technology""]","[{""text"": ""[{\""text\"": \""I'm getting a little bit better... it's more convenient than having to drive somewhere.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Comfort with Virtual Assistance,The user feels comfortable using virtual tools for health management but acknowledges limitations.,,"[""Comfort with Virtual Assistance""]","[{""text"": ""[{\""text\"": \""I think if I'm not in a hurry, online appointments work good.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Comfortable Recommendations to Others,The intention and comfort level in recommending clinical trials and health resources to friends and family.,These codes were merged because they both focus on the willingness and comfort of individuals in recommending health-related resources to their social circles.,"[""Recommendation to Others"", ""Comfort with Recommendations""]","[{""text"": ""[{\""text\"": \""I do it all the time.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""Yes, I would be comfortable recommending this resource to a member of my family.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv""}]","11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv"
Compensation for Participation,Participants express that compensation for time and travel can be a motivating factor for considering participation in clinical trials.,,"[""Compensation for Participation""]","[{""text"": ""[{\""text\"": \""That gets people attention. That\\u2019s all it is to it.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Comprehensive Health Monitoring,The aim to ensure that all health issues are monitored closely to prevent any oversights.,,"[""Comprehensive Health Monitoring""]","[{""text"": ""[{\""text\"": \""There's going to be a lot less it's going to fall through the cracks.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Comprehensive Resource Development,Users desire a more robust system that covers various specialties beyond oncology for a broader healthcare resource.,,"[""Comprehensive Resource Development""]","[{""text"": ""[{\""text\"": \""I'd like to see y'all completely fill out, you know, make this into a robust system with more than just oncology.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Concern About Data Privacy,"The user is worried about their medical records being misused for marketing or scams, despite not fearing data leaks.",,"[""Concern About Data Privacy""]","[{""text"": ""[{\""text\"": \""I'm concerned about all kinds of people using my medical records to flood me with emails and text messages.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Concerns About AI Limitations,Participants express concerns about the limitations of AI in conveying trust and confidence.,,"[""Concerns About AI Limitations""]","[{""text"": ""[{\""text\"": \""I get trapped in that and then I don't pay attention to the rest.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Concerns About Additional Medication,The participant is hesitant about participating in trials that may require additional medications.,,"[""Concerns About Additional Medication""]","[{""text"": ""[{\""text\"": \""I don't want to have to take a lot of medicine of some kind.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Concerns About Adverse Reactions,Users express concerns about potential negative side effects from participating in clinical trials.,,"[""Concerns About Adverse Reactions""]","[{""text"": ""[{\""text\"": \""Sometimes a clinical trial might have an adverse reaction.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Concerns About Distracting Information,Participants express concerns about distractions in informational materials that hinder understanding.,,"[""Concerns About Distracting Information""]","[{""text"": ""[{\""text\"": \""The background drawing was distracting.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Concerns About Eligibility,"Participants express reservations about being placed in control groups during trials, affecting their willingness to participate.",,"[""Concerns About Eligibility""]","[{""text"": ""[{\""text\"": \""I wouldn't want to be in the group that didn't get it.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Concerns About Historical Context,"Participants reflect on the historical context of clinical trials, particularly regarding racial disparities and ethical concerns.",,"[""Concerns About Historical Context""]","[{""text"": ""[{\""text\"": \""We just got to the point where they're feeling less afraid, you know, cause they still go back to the Tuskegee experiments.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Concerns About Length of Information,"The user finds lengthy information sessions tedious and prefers concise, focused content.",,"[""Concerns About Length of Information""]","[{""text"": ""[{\""text\"": \""I actually probably thought they were a little too long.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Concerns About Online Health Management,Participants express discomfort with managing personal health information online due to privacy concerns.,,"[""Concerns About Online Health Management""]","[{""text"": ""[{\""text\"": \""I don't prefer that my stuff is out on the internet that way.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Concerns About Pharmaceutical Companies,Participants express skepticism towards information from pharmaceutical companies due to profit motives.,,"[""Concerns About Pharmaceutical Companies""]","[{""text"": ""[{\""text\"": \""I prefer my doctor, a renowned hospital, or university, but not from pharmaceutical companies.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Concerns About Privacy,Participants express concerns about privacy when it comes to sharing personal health information for trials.,,"[""Concerns About Privacy"", ""Concerns About Privacy""]","[{""text"": ""[{\""text\"": \""Some are very big on privacy, and if this is something that you just basically have done for everyone, it might be an issue.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I'm still a little sketchy about putting credit card information and stuff on there.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]","2_R24FG_BF_Individual_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv"
Concerns About Randomization,The user acknowledges fears surrounding the concept of randomization in clinical trials.,,"[""Concerns About Randomization""]","[{""text"": ""[{\""text\"": \""I guess people might be afraid of the word 'randomization.'\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Concerns About Recruitment Processes,"The user raises questions about the recruitment process for studies, indicating a desire for transparency.",,"[""Concerns About Recruitment Processes""]","[{""text"": ""[{\""text\"": \""How many people did you send this notice to?\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Concerns About Risks,"The interviewee highlights concerns about the risks associated with participating in clinical trials, indicating a cautious approach.",,"[""Concerns About Risks""]","[{""text"": ""[{\""text\"": \""Biggest one would be what the risks are.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Concerns About Spam,The participant is wary of receiving excessive communication regarding research opportunities.,,"[""Concerns About Spam""]","[{""text"": ""[{\""text\"": \""The negative side would be that I might get, I might end getting hundreds of emails asking me to participate.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Concerns About Translation Quality,Users express concerns about the quality of translations and the need for accurate communication.,,"[""Concerns About Translation Quality""]","[{""text"": ""[{\""text\"": \""You got to be very careful with who you are using to make these translations.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Concerns About Vaccine Trials,Participants express concerns about participating in vaccine-related trials due to potential side effects.,,"[""Concerns About Vaccine Trials""]","[{""text"": ""[{\""text\"": \""I think I have now psoriatic arthritis, which has been really painful. So, I not sure I would participate in one with a vaccine study again.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Concerns about Pain in Trials,"Participants express apprehension about experiencing pain during clinical trials, influencing their willingness to participate.",,"[""Concerns about Pain in Trials""]","[{""text"": ""[{\""text\"": \""I would say I'm very anti-pain in clinical research trials.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Concise Information,"Users prefer information that is direct and to the point, avoiding redundancy and unnecessary details.",,"[""Concise Information""]","[{""text"": ""[{\""text\"": \""If it's just for cancer research people, like do you have to say cancer six thousand times? It just seems redundant.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Concise and Clear Information Delivery,"Users prefer brief, clear information to enhance understanding and engagement in health-related topics.","These codes were merged because they all emphasize the importance of delivering information in a concise and clear manner, which is crucial for user engagement and comprehension.","[""Shorter Information Sessions"", ""Seek Clarity in Information"", ""Evaluating Health Resources""]","[{""text"": ""[{\""text\"": \""It's long... maybe a couple slides shorter.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""It just didn\\u2019t, it just chopped too much.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""It\\u2019s a very intelligent way of conveying the information.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv""}]","8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv"
Confusion from Medical Opinions,Participants experience confusion due to conflicting medical opinions from different doctors.,,"[""Confusion from Medical Opinions""]","[{""text"": ""[{\""text\"": \""So for me, it\\u2019s hard to trust all the doctors.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Consistent Website Design,Users desire a consistent design across the website to enhance usability and navigation.,,"[""Consistent Website Design""]","[{""text"": ""[{\""text\"": \""I think just the continuity going from each section, it flowing better, not being so choppy.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Continuity of Care,"Users aim for seamless healthcare experiences across different systems, ensuring their medical history is accessible and consistent.",,"[""Continuity of Care""]","[{""text"": ""[{\""text\"": \""That's the biggest reason I like it because if you go between systems, you have continuity of care with these electronic systems.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Convenience in Scheduling,Users desire easier access to scheduling appointments with their doctors for discussions about clinical trials.,,"[""Convenience in Scheduling""]","[{""text"": ""[{\""text\"": \""It would make it very much easier for me.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Convenience of Participation,The user prefers participation in trials that fit their schedule and personal convenience.,,"[""Convenience of Participation"", ""Convenience of Participation""]","[{""text"": ""[{\""text\"": \""If it could be done on my own, at my own time.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""Things that impact your day-to-day convenience, travel, things along those lines would be important to you.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]","12_R24FG_HM_Individual_GNV_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv"
Convenient Prescription Management,"Users want the ability to manage prescriptions easily, including requesting refills without needing to call during office hours.",,"[""Convenient Prescription Management""]","[{""text"": ""[{\""text\"": \""I can just send a message to my doctor's office... that I need a refill, and I don't have to remember it to call in the next day.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Coping with Health Crises,"The need to manage stress and anxiety during serious health situations, such as terminal illness.",,"[""Coping with Health Crises""]","[{""text"": ""[{\""text\"": \""Being in end stage cancer is... a dramatic crisis.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv""}]",10_R24FG_HM_Individual_GNV_initial_codes.csv
Curiosity About Health,The desire to learn more about health and wellness through various channels.,,"[""Curiosity About Health""]","[{""text"": ""[{\""text\"": \""You don't go to the doctor and say, 'Hey, test my taste buds.'\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
